name	wins	losses	team	membership
abonelliegy	187	141	31	gold
rleachgz	102	45	12	\N
nsonesh0	63	16	65	gold
kingreyh1	135	120	9	gold
rguenyh2	126	21	44	platinum
dstarsmoreh3	112	56	82	platinum
smcgerraghtyh4	33	36	14	gold
elecounth5	22	100	79	platinum
lfranzenh6	57	3	76	silver
mmacgeffenh7	98	138	92	silver
ntippinh8	163	161	43	silver
dsteanyngh9	77	39	12	platinum
wbelfieldha	102	114	57	platinum
lmargerrisonhb	172	64	73	silver
tlyttonhc	9	41	90	gold
felkinshd	10	188	79	gold
amatyukonhe	100	80	39	platinum
lgloverhf	68	14	77	\N
mgullivanhg	71	29	52	platinum
lfilipczynskihh	69	191	44	silver
jhurworthhi	106	152	22	silver
bvasilevichhj	150	106	53	gold
ghartushk	88	109	47	platinum
aronaldhl	174	37	4	silver
ghabberjamhm	184	49	18	silver
crivitthn	119	147	71	gold
msylvesterho	135	64	6	gold
qellicombehp	178	156	76	gold
jalpinehq	155	110	26	platinum
acheakehr	92	115	23	\N
pnormanvellhs	118	173	34	platinum
jwarrenht	53	51	78	platinum
tmacfarlanhu	140	20	27	platinum
acyseleyhv	74	42	90	silver
etomkinsonhw	21	137	71	silver
gcolledgehx	67	58	57	\N
smolineauxhy	200	141	48	platinum
ssimonouhz	142	117	\N	gold
vspellacyi0	36	33	41	silver
mprevetti1	55	87	38	silver
dlorkinsi2	24	154	69	silver
bgorussoi3	26	110	26	\N
mfoundsi4	5	19	\N	platinum
slongoi5	57	25	43	silver
ttomczykiewiczi6	140	198	68	gold
bhalfordi7	99	182	95	platinum
bhasseyi8	53	50	39	silver
srangelli9	119	4	10	gold
rlebournia	23	88	91	platinum
jarlidgeib	67	186	38	silver
nstrivensic	121	140	41	gold
afeehanid	111	177	55	platinum
nbroadnickeie	119	18	49	platinum
ldibleif	139	0	100	platinum
ckrzyzanowskiig	56	126	78	silver
dcaltonih	32	36	24	platinum
skundtii	174	27	59	gold
lmichelinij	185	137	42	\N
kdemeyerik	65	8	99	gold
tjeannardil	61	69	3	\N
spedrolloim	67	144	79	silver
cmcbrydein	10	140	29	platinum
moheffernanio	65	136	100	platinum
etrevership	53	43	67	silver
cgocheriq	152	180	65	silver
aescalair	146	155	72	silver
dwilfordis	147	152	37	platinum
hriggulsfordit	7	154	\N	gold
plomaziu	4	175	\N	\N
tbrackstoneiv	144	4	70	gold
sfriedlosiw	199	108	2	silver
cdeetlefsix	164	172	9	\N
sheinekeiy	140	15	39	gold
kgreenstockiz	165	146	23	\N
bairetonj0	115	5	77	silver
afidgettj1	124	1	54	\N
rstenhousej2	135	117	76	gold
aruspinej3	112	139	66	platinum
nfindlowj4	109	138	79	silver
smcelrathj5	87	179	36	platinum
droomej6	55	89	\N	silver
dcatoj7	126	110	33	platinum
asweettj8	140	77	33	platinum
rpierroj9	197	28	44	platinum
dschermickja	167	173	97	gold
darundeljb	41	184	35	\N
llenneyjc	28	39	72	silver
rvanweedenburgjd	172	102	70	silver
rmosedillje	141	155	\N	platinum
hsummersonjf	20	58	56	platinum
lhewinsjg	100	80	64	platinum
mdesantisjh	182	121	\N	gold
gperrisji	77	71	\N	gold
mnodinjj	10	186	68	platinum
ccrookshanksjk	147	115	90	silver
fhaackjl	149	22	49	\N
apittfordjm	23	32	49	silver
rjersonjn	102	161	87	gold
opallinjo	20	30	34	gold
agilgrystjp	27	103	93	gold
rruossjq	85	9	1	\N
gbusfieldjr	18	116	27	platinum
twittyjs	85	10	57	platinum
clawlancejt	47	193	10	\N
mfippeju	151	176	12	platinum
jmaccoughanjv	0	138	72	platinum
holivettajw	110	115	33	gold
ldorrancejx	23	35	48	\N
gbeamontjy	138	116	\N	silver
lfranzelinijz	84	21	17	\N
rwillcotk0	162	27	44	gold
tarntzenk1	149	197	89	\N
latwelk2	123	5	97	gold
kclineckk3	49	173	91	\N
lsmallpiecek4	21	101	28	platinum
phellisk5	3	88	47	platinum
sstandleyk6	176	11	52	silver
jfairholmek7	138	34	5	silver
gblaskettk8	7	111	\N	\N
lbradiek9	148	15	82	gold
fpiscotka	195	26	86	platinum
slethamkb	173	187	59	silver
abentokc	149	121	16	\N
eondrakd	127	200	97	gold
nhadgkisske	29	155	2	\N
avickerstaffkf	62	85	5	platinum
oeyleskg	82	67	24	gold
sdallemorekh	65	119	\N	silver
mkennellyki	124	69	3	platinum
cbeerntkj	137	147	92	platinum
mwithropkk	123	37	95	platinum
mstellikl	128	34	26	platinum
dcouchekm	156	181	71	silver
rkastelkn	129	109	17	platinum
bbrymhamko	1	171	\N	\N
cmcilwrickkp	191	94	69	gold
pbullantkq	36	94	81	platinum
mgascoynekr	14	68	78	gold
vkayzerks	90	71	70	gold
ggyllekt	198	46	\N	gold
deliyahuku	131	80	67	platinum
dtruckettkv	111	10	89	platinum
sguillouxkw	13	62	71	\N
rformkx	98	24	68	silver
jjohanssonky	32	162	7	gold
lpigotkz	18	54	97	gold
bdallanl0	0	33	51	silver
finnsl1	155	133	66	silver
cscowcroftl2	28	44	100	silver
atremainel3	57	5	91	gold
kdulingl4	164	93	41	gold
zrafteryl5	119	49	41	platinum
mthoresbiel6	171	74	7	platinum
vargentl7	167	139	27	gold
ctrowelll8	2	183	32	silver
mshucksmithl9	6	122	85	silver
lwaylettla	193	103	55	platinum
lclueslb	181	125	50	\N
olarcherlc	190	71	68	silver
ogrebertld	149	125	73	gold
adomineyle	110	22	93	gold
amcguirklf	77	147	50	\N
ebrunellilg	162	55	85	platinum
xbamforthlh	66	40	12	gold
vlowndsli	180	187	32	gold
btillertonlj	28	180	34	gold
jaspellk	162	152	25	platinum
acuzenll	29	42	45	platinum
strownsonlm	85	92	83	gold
pmylchreestln	22	194	\N	silver
umattamlo	87	109	54	\N
ogallatlylp	3	28	68	\N
ymildmottlq	160	24	96	platinum
gkarolewskilr	174	134	87	silver
wdurringtonls	178	114	43	platinum
ameaderslt	43	194	92	gold
rwittslu	3	126	9	gold
awaddilovelv	94	50	29	\N
aolyfatlw	75	81	53	platinum
gjoblx	18	69	38	platinum
ssifletly	16	76	61	\N
sburgerlz	192	16	84	platinum
afoynesm0	58	113	71	platinum
efrancellom1	100	105	59	platinum
cjenningsm2	39	63	25	silver
ulangforthm3	167	125	44	\N
rtrimmem4	139	128	\N	platinum
abevenm5	196	122	62	\N
hheapm6	110	15	41	gold
bmecchim7	128	182	\N	\N
twiggm8	18	52	72	gold
ctatem9	44	197	70	\N
zfritchema	24	147	32	silver
vmountfortmb	200	163	85	platinum
rbrinicombemc	97	11	79	silver
cheardmanmd	125	123	22	gold
acalwellme	164	34	33	gold
espadottomf	92	170	24	\N
rgrocuttmg	21	30	7	gold
dmotherwellmh	81	95	68	silver
alewsonmi	193	53	94	platinum
hgorcemj	16	5	84	platinum
hjeanequinmk	29	28	29	\N
tlumbersml	156	93	64	\N
lbecommm	84	18	56	gold
pblasgenmn	62	159	75	silver
amcblainmo	17	19	15	\N
mpainswickmp	49	9	59	gold
asemarkemq	51	52	78	gold
lcroshermr	109	85	44	gold
mtraisems	151	127	65	platinum
ehearthfieldmt	8	42	34	\N
sofearguisemu	196	127	18	\N
iadamowiczmv	138	175	77	gold
ecardenosomw	15	18	\N	platinum
rmaccallistermx	21	82	85	platinum
jgierathsmy	60	144	89	silver
cechaliemz	144	69	39	silver
ngarrien0	109	194	12	gold
csarsfieldn1	73	82	73	platinum
bcastron2	103	167	5	silver
kcorleyn3	65	124	\N	\N
dtillertonn4	122	6	97	platinum
gsheirlawn5	120	138	51	platinum
pmcchruitern6	76	192	98	gold
sglaumn7	169	37	20	platinum
jcampen8	43	28	\N	gold
mabramskyn9	164	123	35	silver
bthorntonna	46	148	40	gold
okeenannb	34	117	43	platinum
tmeirnc	38	87	\N	\N
